N,P,K,temperature,humidity,ph,Labelling,,
90,42,43,20.8797437,82.00274423,6.502985292,0,,
85,58,40,20.77046069,80.30964408,7.03809636,0,,
60,55,44,23.00445905,82.3207629,7.840207044,0,,
74,35,40,26.49009635,80.05836264,6.980400905,0,,
78,42,42,20.03007482,80.60487287,7.62847289,0,,
69,37,42,23.05804872,83.37000772,7.073453503,0,,
69,55,38,22.70883798,82.63940394,5.70080568,0,,
94,53,40,20.27774362,82.89408609,5.708627078,0,,
89,54,38,24.50588066,83.5352063,6.685346424,0,,
68,58,38,23.22397386,83.0332269,6.336253525,0,,
90,53,40,26.52723503,80.40753846,5.386067788,0,,
90,46,42,23.97898207,80.45060596,7.50283396,0,,
78,58,44,26.80079604,80.88684822,5.008680786,0,,
93,56,36,24.00497622,82.05687082,6.98435366,0,,
94,50,37,25.66585205,80.66385045,6.94800983,0,,
60,48,39,24.28209405,80.30025587,7.042299069,0,,
85,38,40,20.58700777,82.7883708,6.249050656,0,,
90,35,39,23.79390957,80.40807957,6.970859754,0,,
77,38,36,20.8652524,80.0923008,5.953933276,0,,
88,35,40,23.57943626,83.58760306,5.85393208,0,,
89,45,36,20.32504058,80.47476396,6.442475375,0,,
76,40,43,25.0574553,83.00703476,5.070075667,0,,
67,59,40,20.94766735,80.97384095,6.00263259,0,,
83,40,43,20.0525355,82.67839507,6.25402845,0,,
98,47,37,23.48380344,80.33265073,7.37548285,0,,
66,53,40,25.0756354,80.52389048,7.778905054,0,,
97,59,43,26.35927059,84.04403589,6.286500076,0,,
97,50,40,24.5292268,80.54498576,7.070959995,0,,
60,49,44,20.77576047,84.49774397,6.24484049,0,,
84,50,35,22.30057427,80.64406466,6.043304899,0,,
73,57,40,20.44653958,84.94375962,5.824709007,0,,
92,35,40,22.07930888,80.33027223,6.357389366,0,,
85,37,39,24.52783742,82.73685569,6.364034968,0,,
98,53,38,20.26707606,80.63895207,5.00450727,0,,
88,54,44,25.7354293,83.88266234,6.0494006,0,,
95,55,42,26.79533926,82.0480873,5.950660556,0,,
99,57,35,26.7575407,80.07734,5.96037006,0,,
95,39,36,23.86330467,83.052508,5.560398642,0,,
60,43,44,20.00944696,82.95220726,7.406245007,0,,
63,44,40,24.07298839,83.7287574,5.583370042,0,,
62,42,36,22.78033806,82.06709037,6.430000205,0,,
64,45,43,25.62980005,83.52842304,5.534878056,0,,
83,60,36,25.59704938,80.04509262,6.903985986,0,,
82,40,40,23.83067496,84.80360027,6.270478838,0,,
85,52,45,26.30355498,82.36698992,7.224285503,0,,
90,35,38,24.8972823,80.52586088,6.0342872,0,,
76,49,42,24.958779,84.47963372,5.206373053,0,,
74,39,38,23.240035,84.59200843,7.782050303,0,,
79,43,39,20.66628296,80.7096055,7.062779005,0,,
88,55,45,24.63544858,80.40363008,7.730367824,0,,
60,36,43,23.43020862,83.06300036,5.2862037,0,,
76,60,39,20.0454042,80.3477562,6.766240045,0,,
93,56,42,23.85724032,82.22572988,7.382762603,0,,
65,60,43,20.97099397,80.89908097,5.658069482,0,,
95,52,36,26.22906897,83.83625809,5.543360238,0,,
75,38,39,23.446768,84.79352407,6.205009705,0,,
74,54,38,25.6555346,83.4702008,7.020272972,0,,
90,36,45,24.44345477,82.45432595,5.950647577,0,,
70,46,40,20.2800937,82.023542,7.236705436,0,,
99,55,35,20.7238303,80.2389895,6.500697806,0,,
72,40,38,20.40447029,82.20802629,7.592490607,0,,
83,58,45,25.75528602,83.50827027,5.87534575,0,,
93,58,38,20.60520424,83.77345559,6.932400225,0,,
70,36,42,20.84006875,80.72886384,6.94620988,0,,
76,47,42,20.08369642,83.29004702,5.739075027,0,,
99,40,36,24.45802087,82.74835604,6.738652079,0,,
99,54,37,20.04347496,80.33502926,5.594809626,0,,
86,59,35,25.78720567,82.00024033,6.946636369,0,,
69,46,40,23.6402482,80.28597873,5.002039669,0,,
90,56,37,23.43090632,80.56887849,6.363472208,0,,
60,52,40,24.97669508,83.890805,6.880430223,0,,
67,45,38,22.7279004,82.070688,7.300400836,0,,
79,42,37,24.87300744,82.8402255,6.587908708,0,,
78,43,42,20.32376327,83.00320459,7.283736607,0,,
75,54,36,26.2946546,84.56909326,7.023936392,0,,
97,36,45,22.2286982,80.85872947,6.939083505,0,,
67,47,44,26.7307239,80.78596776,7.868474653,0,,
73,35,38,24.88920074,80.97927007,5.005306977,0,,
77,36,37,26.88444878,80.46033732,6.036030869,0,,
80,40,38,22.67846006,83.72874389,7.524080076,0,,
68,57,43,26.08867875,80.37979909,5.70694325,0,,
72,45,35,25.42977508,82.9468259,5.758506323,0,,
60,53,43,26.40323239,80.05635507,6.349606327,0,,
67,43,39,26.04370967,84.9690705,5.999969026,0,,
67,58,39,25.2827223,80.54372803,5.453592032,0,,
66,60,38,22.08576562,83.47038308,6.372576327,0,,
